Word,block,response,totcount,theword,proportion
Bottle,category_organization,Form,29,병,0.7241379310344828
Bottle,category_organization,"Form, Color, Material",29,병,0.10344827586206896
Bottle,category_organization,"Form, Material",29,병,0.13793103448275862
Bottle,category_organization,Material,29,병,0.034482758620689655
Bottle,count_mass,Can be counted,30,병,0.9666666666666667
Bottle,count_mass,I don't know/It's hard to say,30,병,0.03333333333333333
Bottle,solidity,I don't know/It's hard to say,29,병,0.034482758620689655
Bottle,solidity,Solid,29,병,0.9655172413793104
Box,category_organization,"Color, Material",29,상자,0.034482758620689655
Box,category_organization,Form,29,상자,0.7241379310344828
Box,category_organization,"Form, Color, Material",29,상자,0.10344827586206896
Box,category_organization,"Form, Material",29,상자,0.10344827586206896
Box,category_organization,Material,29,상자,0.034482758620689655
Box,count_mass,Can be counted,30,상자,0.9
Box,count_mass,Cannot be counted,30,상자,0.06666666666666667
Box,count_mass,I don't know/It's hard to say,30,상자,0.03333333333333333
Box,solidity,I don't know/It's hard to say,29,상자,0.034482758620689655
Box,solidity,Solid,29,상자,0.9655172413793104
Bread,category_organization,Color,29,빵,0.034482758620689655
Bread,category_organization,"Color, Material",29,빵,0.034482758620689655
Bread,category_organization,Form,29,빵,0.41379310344827586
Bread,category_organization,"Form, Color, Material",29,빵,0.10344827586206896
Bread,category_organization,"Form, Material",29,빵,0.27586206896551724
Bread,category_organization,Material,29,빵,0.13793103448275862
Bread,count_mass,Can be counted,33,빵,0.8484848484848485
Bread,count_mass,Cannot be counted,33,빵,0.030303030303030304
Bread,count_mass,I don't know/It's hard to say,33,빵,0.12121212121212122
Bread,solidity,I don't know/It's hard to say,29,빵,0.13793103448275862
Bread,solidity,Not a solid,29,빵,0.13793103448275862
Bread,solidity,Solid,29,빵,0.7241379310344828
Broomstick,category_organization,Form,29,빗자루,0.7241379310344828
Broomstick,category_organization,"Form, Color, Material",29,빗자루,0.06896551724137931
Broomstick,category_organization,"Form, Material",29,빗자루,0.1724137931034483
Broomstick,category_organization,Material,29,빗자루,0.034482758620689655
Broomstick,count_mass,Can be counted,30,빗자루,0.9333333333333333
Broomstick,count_mass,Cannot be counted,30,빗자루,0.03333333333333333
Broomstick,count_mass,I don't know/It's hard to say,30,빗자루,0.03333333333333333
Broomstick,solidity,I don't know/It's hard to say,29,빗자루,0.034482758620689655
Broomstick,solidity,Not a solid,29,빗자루,0.034482758620689655
Broomstick,solidity,Solid,29,빗자루,0.9310344827586207
