uni_lemma,response_norm,block,eng1,eng2,kor1,kor2
nail (object),solid,solidity,1,NA,1,NA
neck,solid,solidity,0.6,NA,0.6666666666666666,0.6666666666666666
neck,count,count_mass,0.4,NA,1,0.8
necklace,count,count_mass,0.8333333333333334,NA,1,0.9333333333333332
necklace,solid,solidity,1,NA,1,0.9655172413793104
noodles,solid,solidity,1,NA,0.5,0.3783783783783784
noodles,count,count_mass,0.3333333333333333,NA,0.8571428571428571,0.4615384615384616
nut,solid,solidity,1,NA,0.5714285714285714,NA
nut,count,count_mass,0.6666666666666666,NA,0.75,NA
orange (food),solid,solidity,0.8571428571428571,NA,0.7692307692307693,NA
orange (food),count,count_mass,0.8,NA,0.8888888888888888,NA
owl,solid,solidity,0.875,NA,1,0.6551724137931034
owl,count,count_mass,0.75,NA,1,0.8055555555555556
pajamas,count,count_mass,0.6,NA,0.75,0.90625
pajamas,solid,solidity,1,NA,1,0.8620689655172413
pancake,count,count_mass,0.9166666666666666,NA,1,NA
pancake,solid,solidity,0.7142857142857143,NA,0.625,NA
pants,count,count_mass,1,NA,1,0.90625
pants,solid,solidity,0.8888888888888888,NA,0.875,0.8275862068965517
paper,count,count_mass,0.6666666666666666,NA,1,0.8333333333333334
paper,solid,solidity,0.625,NA,1,0.8709677419354839
pasta,solid,solidity,0.6,NA,0.8333333333333334,NA
peach,solid,solidity,1,NA,0.8,0.7931034482758621
peach,count,count_mass,0.5,NA,1,0.90625
peanut,count,count_mass,0.75,NA,1,0.875
peanut,solid,solidity,0.8571428571428571,NA,1,0.8275862068965517
pencil,count,count_mass,1,NA,1,0.9333333333333332
pencil,solid,solidity,1,NA,0.8333333333333334,0.9333333333333332
penguin,solid,solidity,0.6666666666666666,NA,1,0.6333333333333333
penguin,count,count_mass,1,NA,1,0.7777777777777778
penis,count,count_mass,0.7142857142857143,NA,1,NA
penis,solid,solidity,0.8,NA,0.8333333333333334,NA
piano,count,count_mass,0.75,NA,1,0.9666666666666668
piano,solid,solidity,1,NA,1,0.9655172413793104
picture,count,count_mass,0.5714285714285714,NA,1,NA
picture,solid,solidity,0.5714285714285714,NA,0.9090909090909092,NA
pig,count,count_mass,0.9,NA,1,0.8055555555555556
pig,solid,solidity,0.875,NA,0.8,0.6551724137931034
pigeon,count,count_mass,0.8571428571428571,NA,1,0.8055555555555556
pillow,count,count_mass,0.5,NA,1,0.9032258064516128
pillow,solid,solidity,0.5714285714285714,NA,0.8,0.8333333333333334
pizza,count,count_mass,0.7,NA,1,0.8235294117647058
pizza,solid,solidity,0.8571428571428571,NA,0.75,0.7
plate,count,count_mass,1,NA,1,NA
plate,solid,solidity,1,NA,1,NA
pocket,count,count_mass,0.5,NA,1,0.7647058823529411
potato,count,count_mass,0.8571428571428571,NA,1,0.90625
potato,solid,solidity,1,NA,0.9166666666666666,0.8275862068965517
present,count,count_mass,0.75,NA,1,NA
present,solid,solidity,0.4,NA,0.7777777777777778,NA
pumpkin,count,count_mass,0.8571428571428571,NA,1,0.90625
pumpkin,solid,solidity,0.9,NA,1,0.7931034482758621
radio,count,count_mass,0.3333333333333333,NA,1,0.935483870967742
radio,solid,solidity,1,NA,1,0.9310344827586208
radish,count,count_mass,0.8571428571428571,NA,1,0.90625
radish,solid,solidity,0.6666666666666666,NA,0.8888888888888888,0.8275862068965517
rag,count,count_mass,0.7777777777777778,NA,1,0.9032258064516128
rag,solid,solidity,1,NA,1,0.8275862068965517
refrigerator,count,count_mass,0.6666666666666666,NA,1,0.9666666666666668
refrigerator,solid,solidity,1,NA,0.8,0.9655172413793104
rice,count,count_mass,0.3333333333333333,NA,0.2857142857142857,0.5161290322580645
rice,solid,solidity,0.4,NA,1,0.6764705882352942
rice cake,count,count_mass,1,NA,1,0.90625
rice cake,solid,solidity,0.8,NA,0.8,0.7586206896551724
robot,count,count_mass,1,NA,1,0.8333333333333334
robot,solid,solidity,0.8571428571428571,NA,1,0.8484848484848485
roof,count,count_mass,0.5,NA,0.8,0.9629629629629628
roof,solid,solidity,0.5,NA,1,0.9655172413793104
room,count,count_mass,0.625,NA,0.5,0.7714285714285715
room,solid,solidity,0.5,NA,0.4,0.7
salt,solid,solidity,0.2857142857142857,NA,0.6,0.5428571428571428
scarf,count,count_mass,0.5,NA,1,0.875
scarf,solid,solidity,0.625,NA,0.75,0.8275862068965517
scissors,count,count_mass,0.8333333333333334,NA,1,0.9666666666666668
scissors,solid,solidity,1,NA,1,0.9655172413793104
seesaw,count,count_mass,0.8,NA,0.8888888888888888,NA
seesaw,solid,solidity,0.8571428571428571,NA,1,NA
sheep,count,count_mass,0.6666666666666666,NA,0.9,0.8055555555555556
sheep,solid,solidity,1,NA,1,0.6551724137931034
shoe,count,count_mass,1,NA,1,NA
shoe,solid,solidity,1,NA,1,NA
shoulder,count,count_mass,0.8333333333333334,NA,0.7777777777777778,0.6666666666666666
shoulder,solid,solidity,1,NA,0.75,0.5757575757575758
skirt,count,count_mass,1,NA,1,0.90625
skirt,solid,solidity,0.7,NA,1,0.8275862068965517
sky,count,count_mass,0.16666666666666666,NA,NA,0.03225806451612903
sled,count,count_mass,1,NA,0.9,0.7666666666666667
sled,solid,solidity,1,NA,0.8,0.875
slide (object),count,count_mass,0.5,NA,1,NA
slide (object),solid,solidity,0.875,NA,1,NA
snake,count,count_mass,0.8333333333333334,NA,1,0.7777777777777778
snake,solid,solidity,0.8333333333333334,NA,0.75,0.6333333333333333
sneaker,count,count_mass,1,NA,1,NA
sneaker,solid,solidity,1,NA,0.7142857142857143,NA
snow,count,count_mass,0.2,NA,0.5,0.16129032258064516
snowman,count,count_mass,0.4444444444444444,NA,1,0.6857142857142857
snowman,solid,solidity,0.3333333333333333,NA,1,0.5517241379310345
soap,count,count_mass,0.3333333333333333,NA,1,0.875
soap,solid,solidity,0.6666666666666666,NA,1,0.7333333333333333
sock,count,count_mass,0.8888888888888888,NA,1,NA
sock,solid,solidity,0.75,NA,1,NA
soda,count,count_mass,0.1111111111111111,NA,0.6,NA
soda,solid,solidity,0.16666666666666666,NA,NA,NA
soil,count,count_mass,0.3333333333333333,NA,NA,NA
soil,solid,solidity,0.4444444444444444,NA,0.3333333333333333,NA
soup,count,count_mass,0.25,NA,0.1111111111111111,0.5
spaghetti,count,count_mass,0.5,NA,0.2857142857142857,0.5294117647058824
spaghetti,solid,solidity,0.5,NA,0.8333333333333334,0.5555555555555556
sparrow,count,count_mass,0.75,NA,1,0.7777777777777778
sparrow,solid,solidity,0.75,NA,1,0.6551724137931034
spoon,count,count_mass,1,NA,1,0.9333333333333332
spoon,solid,solidity,1,NA,1,0.9333333333333332
squirrel,count,count_mass,0.875,NA,1,0.8055555555555556
squirrel,solid,solidity,0.8333333333333334,NA,1,0.6551724137931034
