uni_lemma,response_norm,block,proportion,sample
cake,shape,category_organization,0.1111111111111111,eng1
cake,solid,solidity,0.6666666666666666,eng1
cake,count,count_mass,0.8333333333333334,eng1
calf,shape,category_organization,0.13333333333333333,eng1
calf,count,count_mass,0.75,eng1
calf,solid,solidity,0.8571428571428571,eng1
camera,shape,category_organization,0.5,eng1
camera,count,count_mass,0.7142857142857143,eng1
camera,solid,solidity,1,eng1
candy,solid,solidity,0.8181818181818182,eng1
candy,count,count_mass,0.5,eng1
candy,shape,category_organization,0.1,eng1
carrot,count,count_mass,1,eng1
carrot,shape,category_organization,0.3333333333333333,eng1
carrot,solid,solidity,1,eng1
cat,shape,category_organization,0.3,eng1
cat,count,count_mass,0.875,eng1
cat,solid,solidity,0.9,eng1
chair,shape,category_organization,0.7,eng1
chair,solid,solidity,1,eng1
chair,count,count_mass,0.8333333333333334,eng1
cheek,shape,category_organization,0.125,eng1
cheek,count,count_mass,0.25,eng1
cheek,solid,solidity,0.75,eng1
cheese,solid,solidity,0.8333333333333334,eng1
cheese,count,count_mass,0.375,eng1
chick,shape,category_organization,0.2222222222222222,eng1
chick,count,count_mass,0.5,eng1
chick,solid,solidity,0.6666666666666666,eng1
chicken (animal),shape,category_organization,0.25,eng1
chicken (animal),solid,solidity,1,eng1
chicken (animal),count,count_mass,0.7777777777777778,eng1
chicken (food),solid,solidity,0.8888888888888888,eng1
chicken (food),count,count_mass,0.5,eng1
chin,shape,category_organization,0.5,eng1
chin,count,count_mass,0.875,eng1
chin,solid,solidity,1,eng1
chocolate,count,count_mass,0.7142857142857143,eng1
chocolate,solid,solidity,0.8333333333333334,eng1
chopstick,solid,solidity,1,eng1
chopstick,shape,category_organization,0.5,eng1
chopstick,count,count_mass,0.625,eng1
clock,count,count_mass,0.8888888888888888,eng1
clock,shape,category_organization,0.3,eng1
clock,solid,solidity,1,eng1
closet,shape,category_organization,0.26666666666666666,eng1
closet,count,count_mass,1,eng1
closet,solid,solidity,1,eng1
cloud,count,count_mass,0.25,eng1
coat,solid,solidity,0.7142857142857143,eng1
coat,shape,category_organization,0.2307692307692308,eng1
coat,count,count_mass,1,eng1
coffee,solid,solidity,0.16666666666666666,eng1
coffee,count,count_mass,0.16666666666666666,eng1
coke,count,count_mass,0.25,eng1
comb (object),shape,category_organization,0.7,eng1
comb (object),count,count_mass,1,eng1
comb (object),solid,solidity,1,eng1
corn,count,count_mass,0.8571428571428571,eng1
corn,solid,solidity,1,eng1
couch,shape,category_organization,0.625,eng1
couch,count,count_mass,1,eng1
couch,solid,solidity,1,eng1
cow,shape,category_organization,0.3,eng1
cow,count,count_mass,1,eng1
cow,solid,solidity,1,eng1
crayon,solid,solidity,1,eng1
crayon,shape,category_organization,0.2307692307692308,eng1
crayon,count,count_mass,0.9090909090909092,eng1
crocodile,shape,category_organization,0.38461538461538464,eng1
crocodile,count,count_mass,0.8,eng1
crocodile,solid,solidity,1,eng1
cup,shape,category_organization,0.7,eng1
cup,count,count_mass,0.8571428571428571,eng1
cup,solid,solidity,1,eng1
deer,solid,solidity,0.8571428571428571,eng1
deer,shape,category_organization,0.375,eng1
deer,count,count_mass,0.6666666666666666,eng1
diaper,shape,category_organization,0.2222222222222222,eng1
diaper,count,count_mass,1,eng1
diaper,solid,solidity,0.8,eng1
dinosaur,solid,solidity,0.8333333333333334,eng1
dinosaur,shape,category_organization,0.3333333333333333,eng1
dinosaur,count,count_mass,0.8333333333333334,eng1
dog,count,count_mass,1,eng1
dog,solid,solidity,0.8571428571428571,eng1
doll,shape,category_organization,0.5555555555555556,eng1
doll,count,count_mass,1,eng1
doll,solid,solidity,0.9,eng1
donut,solid,solidity,1,eng1
donut,shape,category_organization,0.6666666666666666,eng1
donut,count,count_mass,1,eng1
door,shape,category_organization,0.6,eng1
door,count,count_mass,0.75,eng1
door,solid,solidity,1,eng1
drawer,shape,category_organization,0.6,eng1
drawer,count,count_mass,1,eng1
drawer,solid,solidity,1,eng1
dress (object),shape,category_organization,0.21428571428571427,eng1
dress (object),solid,solidity,0.8571428571428571,eng1
dress (object),count,count_mass,0.9,eng1
dress shoe,shape,category_organization,0.25,eng1
dress shoe,count,count_mass,0.8571428571428571,eng1
dress shoe,solid,solidity,1,eng1
dried seaweed,solid,solidity,0.5,eng1
dried seaweed,count,count_mass,0.375,eng1
dried seaweed,shape,category_organization,0.07692307692307693,eng1
duck,solid,solidity,1,eng1
duck,shape,category_organization,0.3,eng1
duck,count,count_mass,1,eng1
ear,shape,category_organization,0.4444444444444444,eng1
ear,count,count_mass,0.6666666666666666,eng1
ear,solid,solidity,1,eng1
egg,shape,category_organization,0.6666666666666666,eng1
egg,count,count_mass,0.8571428571428571,eng1
egg,solid,solidity,0.625,eng1
elephant,shape,category_organization,0.25,eng1
elephant,count,count_mass,0.9,eng1
elephant,solid,solidity,1,eng1
eye,shape,category_organization,0.6666666666666666,eng1
eye,count,count_mass,0.7777777777777778,eng1
eye,solid,solidity,0.42857142857142855,eng1
face,solid,solidity,0.6,eng1
