Word,block,response,totcount,theword,proportion,uni_lemma,language,eng_response,matching_response,cleaned_response
Body,category_organization,Material,29,몸,0.03448275862068965,Body,Korean,Material,material,material
Body,count_mass,Can be counted,29,몸,0.7241379310344828,Body,Korean,Can be counted,count,can be counted
Body,count_mass,Cannot be counted,29,몸,0.034482758620689655,Body,Korean,Cannot be counted,mass,cannot be counted
Body,count_mass,I don't know/It's hard to say,29,몸,0.2413793103448276,Body,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Body,solidity,I don't know/It's hard to say,29,몸,0.20689655172413793,Body,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Body,solidity,Not a solid,29,몸,0.10344827586206896,Body,Korean,Not a solid,non-solid,not a solid
Body,solidity,Solid,29,몸,0.6896551724137931,Body,Korean,Solid,solid,solid
Book,category_organization,Form,29,책,0.4827586206896552,Book,Korean,Form,shape,form
Book,category_organization,"Form, Color, Material",29,책,0.10344827586206896,Book,Korean,"Form, Color, Material",multiple,form color material
Book,category_organization,"Form, Material",29,책,0.3103448275862069,Book,Korean,"Form, Material",multiple,form material
Book,category_organization,Material,29,책,0.06896551724137931,Book,Korean,Material,material,material
Book,category_organization,Not applicable,29,책,0.03448275862068965,Book,Korean,Not applicable,none of these,not applicable
Book,count_mass,Can be counted,29,책,0.9655172413793104,Book,Korean,Can be counted,count,can be counted
Book,count_mass,I don't know/It's hard to say,29,책,0.034482758620689655,Book,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Book,solidity,I don't know/It's hard to say,29,책,0.034482758620689655,Book,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
