subject,response_format,word_order,condition_code,n_cat_trials,median_rt_ms,mean_rt_ms,min_rt_ms,frac_under_1s,lavender_trials,att_pass,flag_explicit_id,flag_no_attention,flag_fast,reject_reasons,decision
P1853,forced_choice,semantic_blocked,fc_blocked,20,3351,3788,1660,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1854,multi_select,random,ms_random,20,5702.5,6861,1878,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1855,forced_choice,semantic_blocked,fc_blocked,20,13314.5,19418,1801,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1856,multi_select,semantic_blocked,ms_blocked,20,4939.5,5553,2247,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1859,multi_select,random,ms_random,20,12610.5,14319,9851,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1860,forced_choice,random,fc_random,20,16951,20288,3671,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1861,multi_select,semantic_blocked,ms_blocked,20,5045,6260,2864,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1862,forced_choice,semantic_blocked,fc_blocked,20,3629.5,3832,2415,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1865,multi_select,random,ms_random,20,3463.5,3984,1672,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1866,forced_choice,random,fc_random,20,2842,3620,1695,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1867,multi_select,random,ms_random,19,4904,5679,2751,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1869,multi_select,semantic_blocked,ms_blocked,20,4889,5769,3381,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1870,forced_choice,random,fc_random,20,6623,6981,3566,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1871,multi_select,random,ms_random,20,5996.5,6000,2934,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1872,multi_select,random,ms_random,20,4662,4600,2469,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1875,forced_choice,semantic_blocked,fc_blocked,20,6141.5,8514,3646,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1877,forced_choice,random,fc_random,20,3579.5,4391,1998,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1879,forced_choice,semantic_blocked,fc_blocked,20,4140.5,5536,2380,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1881,forced_choice,random,fc_random,20,7098.5,8550,3205,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1885,multi_select,random,ms_random,20,8813.5,10098,5130,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1886,multi_select,random,ms_random,7,4815,5498,3382,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1888,multi_select,random,ms_random,20,3732,3945,2247,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1891,multi_select,semantic_blocked,ms_blocked,20,4573.5,6451,2409,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1894,forced_choice,random,fc_random,20,20383,22313,17130,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
