_id,rt,trial_type,trial_index,time_elapsed,internal_node_id,__v,response,theword,block,subject,study_id,session_id,uni_lemma,word,response_numeric,totcount
683a48db9a4a688b481a154b,4373,survey-multi-choice,19,96337,0,0,none of these,neighborhood,category_organization,NA,NA,NA,neighborhood,neighborhood,3,14
683a48db9a4a688b481a154d,6656,survey-multi-choice,20,102994,0,0,material,plant,category_organization,NA,NA,NA,plant,plant,1,10
683a48db9a4a688b481a154f,1913,survey-multi-choice,21,104908,0,0,none of these,belt,category_organization,NA,NA,NA,belt,belt,3,14
683a48db9a4a688b481a1551,1871,survey-multi-choice,22,106780,0,0,none of these,back,category_organization,NA,NA,NA,back,back,3,15
683a48db9a4a688b481a1553,1622,survey-multi-choice,23,108403,0,0,none of these,insect,category_organization,NA,NA,NA,insect,insect,3,9
683a48dc9a4a688b481a1561,4863,survey-multi-choice,4,21428,0,0,none of these,gun,category_organization,NA,NA,NA,gun,gun,3,13
683a48dc9a4a688b481a1563,3496,survey-multi-choice,5,24925,0,0,none of these,music,category_organization,NA,NA,NA,music,music,3,14
683a48dc9a4a688b481a1565,2327,survey-multi-choice,6,27253,0,0,material,park,category_organization,NA,NA,NA,park,park,1,13
683a48dc9a4a688b481a1567,2016,survey-multi-choice,7,29269,0,0,shape,sausage,category_organization,NA,NA,NA,sausage,sausage,0,9
683a48dc9a4a688b481a1569,1118,survey-multi-choice,8,30388,0,0,none of these,rag,category_organization,NA,NA,NA,rag,rag,3,12
683a48dc9a4a688b481a156b,2256,survey-multi-choice,9,32645,0,0,material,pudding,category_organization,NA,NA,NA,pudding,pudding,1,11
683a48dc9a4a688b481a156d,2431,survey-multi-choice,11,37812,0,0,shape,top,category_organization,NA,NA,NA,top,top,0,12
683a48dc9a4a688b481a156f,2927,survey-multi-choice,12,40740,0,0,material,dress (object),category_organization,NA,NA,NA,dress (object),dress (object),1,14
