uni_lemma,english_s1,english_s2,korean_s1,korean_s2,language,lexical_category,category,freq,concreteness,intercept,slope,aoa,logfreq
neck,0.5555555555555556,0.5833333333333334,0.75,0.8620689655172413,Korean,nouns,body_parts,-0.10526788217581844,0.8648017748984381,-7.340219523262723,0.3000005727807247,24.467351696117625,-0.10526788217581844
necklace,0.5,0.3,0.7777777777777778,0.6206896551724138,Korean,nouns,clothing,-1.4551529404889745,0.825329576937764,-7.948492685972892,0.29974404256834414,26.51760020938721,-1.4551529404889745
noodles,0.6666666666666666,0.14285714285714285,0.25,0.4827586206896552,Korean,nouns,food_drink,-0.6214317735623528,0.825329576937764,-7.876950641210856,0.2999784020732286,26.25839256016835,-0.6214317735623528
nut,0.3333333333333333,0.09090909090909093,0.125,0.4827586206896552,Korean,nouns,food_drink,0.09896661528938304,0.39113539937034864,-8.332203763044577,0.29979081110874856,27.7933927735433,0.09896661528938304
orange (food),0.3333333333333333,0.13333333333333333,0.14285714285714285,0.4482758620689655,Korean,nouns,food_drink,-0.20560078694684175,0.5292880922327086,-7.7368998243588285,0.29996858348808775,25.79236710189043,-0.20560078694684175
pajamas,0.18181818181818185,0.09090909090909093,0.2222222222222222,0.6551724137931034,Korean,nouns,clothing,-1.0179379430231297,0.5983644386638884,-9.399040919859363,0.29975970476539376,31.35525145788191,-1.0179379430231297
pants,0.3636363636363637,0.3,0.8,0.6551724137931034,Korean,nouns,clothing,0.28377349118499595,0.7266490820360791,-6.547438573756168,0.3000460018020801,21.821449159236145,0.28377349118499595
pasta,0.5,0.4,0.25,0.3448275862068966,Korean,nouns,food_drink,-1.4551529404889745,0.7266490820360791,-8.170138506020805,0.29941936048985807,27.28660729437883,-1.4551529404889745
peach,0.4,0.25,0.2222222222222222,0.4482758620689655,Korean,nouns,food_drink,-0.817067549044895,0.7661212799967533,-8.80593759153054,0.29968291639570904,29.38418278038563,-0.817067549044895
pencil,0.5,0.07692307692307693,0.5,0.41379310344827586,Korean,nouns,toys,-0.05193179536876716,0.7463851810164157,-7.575824715831818,0.2997930534016929,25.27018097941371,-0.05193179536876716
